datetime,timestamp_text,O3 [ug/m3],NO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],CPC [1/cm3],EC [ug/m3],PREC [mm],RAD [W/m2],SO2 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C]
2018-06-01T00:00:00+00:00,01.06.2018 01:00,49.7,9.6,8.4,5.1,6298.7,0.1,0.0,0.0,0.4,10.1,14.3
2018-06-01T01:00:00+00:00,01.06.2018 02:00,54.4,6.9,8.8,5.4,6327.7,0.1,0.0,0.0,0.5,7.3,13.8
2018-06-01T06:00:00+00:00,01.06.2018 07:00,30.2,27.8,13.0,8.6,14595.9,0.4,0.0,234.8,3.8,39.0,14.7
2018-06-01T08:00:00+00:00,01.06.2018 09:00,56.3,19.4,11.0,7.2,11325.9,0.3,0.0,584.5,0.9,28.4,18.2
2018-06-01T09:00:00+00:00,01.06.2018 10:00,76.7,8.2,9.6,6.8,6169.2,0.2,0.0,751.0,0.7,11.0,19.9
2018-06-01T11:00:00+00:00,01.06.2018 12:00,92.8,3.0,7.9,5.2,4136.3,0.1,0.0,334.0,0.4,3.7,20.7
2018-06-01T15:00:00+00:00,01.06.2018 16:00,102.0,2.8,5.6,3.8,5533.1,0.1,0.0,601.0,0.3,3.6,23.1
2018-06-01T17:00:00+00:00,01.06.2018 18:00,95.7,3.5,5.5,3.7,4360.9,0.1,0.0,323.5,0.3,4.1,22.1
2018-06-01T18:00:00+00:00,01.06.2018 19:00,91.1,3.1,4.1,3.1,4725.7,0.1,0.0,220.2,0.3,3.7,20.8
2018-06-01T20:00:00+00:00,01.06.2018 21:00,81.6,3.2,3.4,3.0,3057.9,0.1,0.0,1.8,0.3,3.5,17.9
2018-06-01T21:00:00+00:00,01.06.2018 22:00,63.6,5.1,4.9,3.7,5435.1,0.2,0.0,0.0,0.3,5.6,16.5
2018-06-02T03:00:00+00:00,02.06.2018 04:00,36.6,5.8,8.2,4.5,6884.7,0.1,0.0,0.0,0.4,6.6,13.4
2018-06-02T10:00:00+00:00,02.06.2018 11:00,85.2,5.2,6.3,4.1,18025.0,0.1,0.0,866.3,0.9,6.8,21.5
2018-06-02T13:00:00+00:00,02.06.2018 14:00,98.8,3.4,7.1,4.2,7788.0,0.1,0.0,911.3,0.4,4.2,24.1
2018-06-02T18:00:00+00:00,02.06.2018 19:00,112.3,8.3,8.9,5.3,8024.0,0.2,0.0,209.3,0.4,9.2,23.9
2018-06-03T00:00:00+00:00,03.06.2018 01:00,46.3,12.2,11.0,8.1,8688.7,0.3,0.0,0.0,0.5,13.1,15.7
2018-06-03T01:00:00+00:00,03.06.2018 02:00,38.9,11.7,11.9,8.4,6307.8,0.2,0.0,0.0,0.4,12.5,15.1
2018-06-03T04:00:00+00:00,03.06.2018 05:00,23.0,10.4,13.9,9.1,5455.0,0.2,0.0,5.8,0.4,11.6,13.4
2018-06-03T05:00:00+00:00,03.06.2018 06:00,24.3,11.6,13.6,9.5,5742.8,0.2,0.0,94.8,0.5,13.9,14.5
2018-06-03T09:00:00+00:00,03.06.2018 10:00,64.1,11.3,12.6,10.7,6897.9,0.3,0.0,514.5,0.9,14.7,20.5
2018-06-03T10:00:00+00:00,03.06.2018 11:00,73.6,12.6,14.4,11.3,15268.3,0.3,0.0,610.8,1.0,16.0,21.6
2018-06-03T15:00:00+00:00,03.06.2018 16:00,119.2,5.2,11.6,8.7,7020.5,0.2,0.0,690.2,0.7,6.1,26.4
2018-06-03T23:00:00+00:00,04.06.2018 00:00,89.2,9.1,13.4,9.9,7180.7,0.2,1.0,0.0,0.7,9.8,19.8
2018-06-04T02:00:00+00:00,04.06.2018 03:00,77.2,2.5,4.7,4.0,1779.4,0.1,0.0,0.0,0.3,3.0,17.2
2018-06-04T04:00:00+00:00,04.06.2018 05:00,67.9,2.6,6.1,4.1,1919.8,0.1,0.0,4.2,0.3,3.2,16.4
2018-06-04T05:00:00+00:00,04.06.2018 06:00,63.0,4.3,6.7,4.3,2858.5,0.1,0.0,80.0,0.4,4.9,16.7
2018-06-04T09:00:00+00:00,04.06.2018 10:00,80.2,15.2,11.9,7.4,11255.0,0.3,0.0,618.8,0.8,19.3,21.1
2018-06-04T10:00:00+00:00,04.06.2018 11:00,90.8,12.8,13.1,9.0,16468.8,0.3,0.0,802.2,0.9,15.9,22.4
2018-06-04T14:00:00+00:00,04.06.2018 15:00,144.3,9.9,15.2,12.5,10226.1,0.3,0.0,641.3,0.8,11.0,25.5
2018-06-04T17:00:00+00:00,04.06.2018 18:00,144.7,12.5,16.1,12.2,11052.2,0.3,0.0,84.8,0.8,13.3,23.9
2018-06-04T21:00:00+00:00,04.06.2018 22:00,86.1,4.8,9.9,6.8,3583.9,0.1,0.1,0.0,0.3,5.2,17.2
2018-06-05T00:00:00+00:00,05.06.2018 01:00,63.7,8.4,13.1,8.9,5426.6,0.2,0.0,0.0,0.4,9.0,17.1
2018-06-05T02:00:00+00:00,05.06.2018 03:00,48.9,5.5,16.5,10.8,3730.7,0.1,0.0,0.0,0.3,6.2,16.8
2018-06-05T03:00:00+00:00,05.06.2018 04:00,49.9,4.5,15.5,9.6,3834.2,0.1,0.0,0.0,0.3,5.1,16.1
2018-06-05T04:00:00+00:00,05.06.2018 05:00,44.1,4.8,15.1,8.6,4030.2,0.1,0.0,5.8,0.3,5.4,16.0
2018-06-05T11:00:00+00:00,05.06.2018 12:00,110.9,6.2,11.3,8.7,8460.4,0.2,0.0,860.8,0.4,7.4,23.4
2018-06-05T13:00:00+00:00,05.06.2018 14:00,125.0,8.1,10.4,8.0,12789.9,0.2,0.0,683.0,0.5,9.2,25.0
2018-06-05T14:00:00+00:00,05.06.2018 15:00,134.5,8.3,13.2,9.9,15987.1,0.3,0.0,780.3,0.7,9.6,26.2
2018-06-05T17:00:00+00:00,05.06.2018 18:00,132.9,8.1,10.8,9.4,7097.8,0.2,0.0,384.7,0.6,9.1,26.1
2018-06-06T00:00:00+00:00,06.06.2018 01:00,62.2,7.9,18.4,12.9,4297.6,0.2,0.0,0.0,0.4,8.5,18.1
2018-06-06T01:00:00+00:00,06.06.2018 02:00,67.4,7.3,19.0,13.2,4011.0,0.2,0.0,0.0,0.4,8.0,18.5
2018-06-06T02:00:00+00:00,06.06.2018 03:00,69.4,7.4,18.6,13.8,4088.5,0.2,0.0,0.0,0.5,8.1,18.9
2018-06-06T05:00:00+00:00,06.06.2018 06:00,78.7,8.0,7.1,4.7,5838.5,0.2,0.0,63.5,0.4,8.7,18.0
2018-06-06T06:00:00+00:00,06.06.2018 07:00,70.8,8.0,7.4,4.6,5682.4,0.2,0.0,219.8,0.4,9.2,18.9
2018-06-06T08:00:00+00:00,06.06.2018 09:00,89.0,3.4,5.6,4.0,3656.1,0.1,0.0,267.0,0.3,4.2,20.7
2018-06-06T10:00:00+00:00,06.06.2018 11:00,95.8,4.2,9.5,5.8,7594.6,0.2,0.0,719.7,0.5,5.0,22.4
2018-06-06T17:00:00+00:00,06.06.2018 18:00,92.6,4.9,9.7,6.5,4705.5,0.2,0.0,216.5,0.4,5.7,23.4
2018-06-06T19:00:00+00:00,06.06.2018 20:00,80.7,4.4,8.0,5.1,3944.3,0.1,0.0,27.5,0.3,4.8,22.3
2018-06-06T20:00:00+00:00,06.06.2018 21:00,72.0,4.3,6.8,4.8,3889.5,0.1,0.0,0.5,0.3,4.7,21.1
2018-06-06T22:00:00+00:00,06.06.2018 23:00,71.6,3.9,6.6,4.5,3672.0,0.1,1.2,0.0,0.3,4.6,19.8
2018-06-07T11:00:00+00:00,07.06.2018 12:00,71.9,2.1,9.4,6.3,2984.0,0.1,0.0,453.5,0.7,2.9,21.2
2018-06-07T12:00:00+00:00,07.06.2018 13:00,76.4,2.0,9.1,7.1,2879.9,0.2,0.0,577.3,0.6,2.7,21.8
2018-06-07T17:00:00+00:00,07.06.2018 18:00,93.4,8.3,9.7,6.6,9520.4,0.2,0.0,345.5,0.5,9.8,22.8
2018-06-07T23:00:00+00:00,08.06.2018 00:00,53.2,6.6,9.2,6.5,3843.8,0.2,0.0,0.0,0.4,7.3,17.5
2018-06-08T02:00:00+00:00,08.06.2018 03:00,51.1,6.7,9.2,7.3,3865.6,0.2,0.0,0.0,0.5,7.3,18.4
2018-06-08T06:00:00+00:00,08.06.2018 07:00,28.6,20.4,11.7,8.2,13162.1,0.4,0.0,95.2,0.8,24.9,18.4
2018-06-08T07:00:00+00:00,08.06.2018 08:00,38.6,18.8,13.0,8.6,7815.7,0.3,0.0,128.7,0.7,22.8,18.6
2018-06-08T09:00:00+00:00,08.06.2018 10:00,56.8,12.6,16.3,10.7,10276.3,0.3,0.0,505.3,0.6,17.2,20.4
2018-06-08T11:00:00+00:00,08.06.2018 12:00,92.7,9.4,16.2,11.1,11176.8,0.3,0.0,750.5,0.5,11.7,23.3
2018-06-08T21:00:00+00:00,08.06.2018 22:00,95.6,4.0,7.2,5.8,2986.3,0.1,0.0,0.0,0.3,4.4,18.7
2018-06-08T22:00:00+00:00,08.06.2018 23:00,84.5,4.2,6.6,5.0,4201.6,0.2,0.2,0.0,0.4,4.7,18.4
2018-06-08T23:00:00+00:00,09.06.2018 00:00,78.5,3.7,6.8,4.2,3108.1,0.1,0.3,0.0,0.4,4.1,17.8
2018-06-09T03:00:00+00:00,09.06.2018 04:00,52.4,3.4,15.0,6.2,2366.5,0.1,0.0,0.0,0.3,3.9,16.2
2018-06-09T06:00:00+00:00,09.06.2018 07:00,59.2,3.4,6.0,4.7,3044.4,0.1,0.0,233.5,0.4,4.3,18.2
2018-06-09T07:00:00+00:00,09.06.2018 08:00,62.2,8.5,6.4,5.0,9783.1,0.1,0.0,393.8,2.4,11.1,19.8
2018-06-09T12:00:00+00:00,09.06.2018 13:00,109.7,2.8,8.8,8.0,5581.3,0.2,0.0,706.2,0.4,3.3,25.1
2018-06-09T14:00:00+00:00,09.06.2018 15:00,126.2,4.6,11.0,9.3,9214.6,0.2,0.0,529.3,0.5,5.5,26.0
2018-06-09T17:00:00+00:00,09.06.2018 18:00,97.9,6.9,12.2,9.9,7919.2,0.2,0.0,50.2,0.4,7.6,19.5
2018-06-09T18:00:00+00:00,09.06.2018 19:00,79.4,6.5,11.6,9.6,9015.7,0.2,0.0,36.7,0.4,7.2,19.9
2018-06-09T22:00:00+00:00,09.06.2018 23:00,36.4,9.7,18.9,12.8,9140.4,0.4,0.0,0.0,0.4,10.3,18.6
2018-06-10T00:00:00+00:00,10.06.2018 01:00,36.6,5.3,17.3,10.9,4421.5,0.3,0.0,0.0,0.4,5.9,17.8
2018-06-10T04:00:00+00:00,10.06.2018 05:00,40.2,8.1,18.1,15.6,3668.2,0.2,0.0,6.0,0.6,8.9,16.9
2018-06-10T05:00:00+00:00,10.06.2018 06:00,39.7,5.1,15.2,12.6,2911.8,0.2,0.0,42.8,0.4,6.4,17.1
2018-06-10T06:00:00+00:00,10.06.2018 07:00,38.9,8.5,19.5,17.8,3473.7,0.2,0.0,91.8,0.5,10.4,17.3
2018-06-10T10:00:00+00:00,10.06.2018 11:00,83.1,2.6,10.2,8.9,4663.4,0.2,0.0,786.7,0.9,3.4,24.5
2018-06-10T11:00:00+00:00,10.06.2018 12:00,100.2,2.7,9.3,8.4,6586.1,0.2,0.0,776.7,0.9,3.3,25.7
2018-06-10T12:00:00+00:00,10.06.2018 13:00,90.1,2.3,12.4,8.8,4663.6,0.2,0.4,411.7,0.6,2.7,24.6
2018-06-10T13:00:00+00:00,10.06.2018 14:00,73.4,4.1,9.3,7.5,4176.6,0.1,0.7,322.2,0.5,5.2,22.7
2018-06-10T14:00:00+00:00,10.06.2018 15:00,77.5,2.3,9.1,8.2,5154.2,0.2,0.0,363.5,0.5,2.9,24.3
2018-06-10T18:00:00+00:00,10.06.2018 19:00,83.4,2.8,8.5,7.8,5378.6,0.2,0.0,217.8,0.5,3.3,26.0
2018-06-10T20:00:00+00:00,10.06.2018 21:00,55.6,11.5,11.3,9.3,12195.9,0.3,0.0,2.3,1.1,12.2,22.1
2018-06-10T22:00:00+00:00,10.06.2018 23:00,47.5,6.2,11.8,8.9,4483.1,0.2,0.0,0.0,0.5,6.8,20.6
2018-06-11T01:00:00+00:00,11.06.2018 02:00,25.9,13.1,15.3,10.4,7255.0,0.3,0.0,0.0,1.5,14.0,19.3
2018-06-11T05:00:00+00:00,11.06.2018 06:00,17.0,22.5,16.8,10.6,10420.9,0.4,0.0,51.8,1.9,26.5,18.6
2018-06-11T07:00:00+00:00,11.06.2018 08:00,10.2,34.8,21.1,11.7,17202.1,0.8,0.0,125.8,3.1,64.4,19.6
2018-06-11T08:00:00+00:00,11.06.2018 09:00,14.6,31.9,22.1,11.9,16642.9,0.7,0.0,119.2,3.8,50.3,20.2
2018-06-11T10:00:00+00:00,11.06.2018 11:00,30.6,25.0,22.4,11.9,11833.4,0.7,0.0,375.8,1.7,40.7,22.2
2018-06-11T14:00:00+00:00,11.06.2018 15:00,78.7,2.5,9.1,5.1,2449.3,0.1,1.9,106.7,0.4,2.9,17.9
2018-06-11T16:00:00+00:00,11.06.2018 17:00,76.0,7.6,7.7,4.7,6851.6,0.1,0.0,571.7,0.5,10.2,19.9
2018-06-12T00:00:00+00:00,12.06.2018 01:00,26.5,9.6,14.5,6.6,7747.1,0.2,1.3,0.0,0.5,10.3,17.8
2018-06-12T04:00:00+00:00,12.06.2018 05:00,26.2,7.5,13.3,7.2,4433.6,0.1,0.0,3.3,0.5,8.1,17.1
2018-06-12T07:00:00+00:00,12.06.2018 08:00,51.9,7.7,6.9,3.5,5420.3,0.1,0.0,123.5,0.4,9.2,17.6
2018-06-12T17:00:00+00:00,12.06.2018 18:00,72.7,8.7,5.3,4.4,19276.6,0.2,0.0,153.3,0.5,9.9,21.3
2018-06-12T18:00:00+00:00,12.06.2018 19:00,74.0,8.1,4.8,2.9,12207.7,0.2,0.0,116.7,0.5,8.8,21.1
2018-06-12T20:00:00+00:00,12.06.2018 21:00,71.3,8.4,4.3,3.0,13687.1,0.2,0.0,2.0,0.7,9.1,19.7
2018-06-13T00:00:00+00:00,13.06.2018 01:00,46.6,11.2,18.9,14.9,5403.1,0.2,0.1,0.0,0.5,11.9,14.7
2018-06-13T04:00:00+00:00,13.06.2018 05:00,48.1,9.6,14.8,11.3,5332.3,0.2,0.0,0.5,0.4,10.3,14.2
2018-06-13T05:00:00+00:00,13.06.2018 06:00,39.5,15.3,17.2,13.0,6824.2,0.2,0.0,6.7,0.4,16.4,14.3
